Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
él,,he,he,he,,,Pronoun,,[sound:spanishdict-9439b2cf-4f0e5623-d0e57f7f-941412d2-ccf0a165.mp3],1,Basics
usted,,you (formal),you (formal),you,,formal,Pronoun,,[sound:spanishdict-846f5cf4-a6b84be1-3c2aa137-4dc8d463-ce7feb4a.mp3],1,Basics
yo,,I,I,I,,,Pronoun,,[sound:spanishdict-63999ee7-9673e27c-5dbb6596-e90f55a1-0e976d8d.mp3],1,Basics
la mujer,,woman,woman,woman,,,Noun,f,[sound:spanishdict-489122cd-19654e58-b00459ec-d96708ed-3bd2b2b8.mp3],1,Basics
la leche,,milk,milk,milk,,,Noun,f,[sound:spanishdict-21a11b0b-108e21f4-948904a3-4e8ebcc1-f9cf083d.mp3],1,Basics
la manzana,,apple,apple,apple,,,Noun,f,[sound:spanishdict-0deaea98-f87dc261-a35dec0c-0f5ff637-c4f7f287.mp3],1,Basics
el hombre,,man,man,man,,,Noun,m,[sound:spanishdict-d78e0ba2-8bcbb681-76042c2c-078cf7fe-682be5fc.mp3],1,Basics
el agua,,water,water,water,,,Noun,m,[sound:spanishdict-f2c5f7b4-3e912a40-33fd2cbf-ad2b73b5-e0b27a54.mp3],1,Basics
beber,,to drink,to drink,to drink,,,Verb,,[sound:spanishdict-799d9136-15553895-d44edb1e-fff8cdac-c9a0b2fc.mp3],1,Basics
tú,,you (familiar),you (familiar),you,,familiar,Pronoun,,[sound:spanishdict-8cf2cdba-f3b594de-3579a814-4beaee74-767be7c8.mp3],1,Basics
la niña,,"girl, child","girl, child","girl, child",,,Noun,f,[sound:spanishdict-fb39aad7-3de56bc6-e3030377-e723b131-b6139f7b.mp3],1,Basics
el niño,el chico,"boy, child","boy, child","boy, child",,,Noun,m,[sound:spanishdict-7b72a5f1-7e2c4256-02bb8e30-f9df3e4f-6858ceb9.mp3],1,Basics
el pan,,bread,bread,bread,,,Noun,m,[sound:spanishdict-672e36fd-98e24905-e057bf42-534838ba-446a22b7.mp3],1,Basics
ella,,she,she,she,,,Pronoun,,[sound:spanishdict-4d1ec370-98e24498-e6d530d7-61036af9-293e11e1.mp3],1,Basics
comer,,to eat,to eat,to eat,,,Verb,,[sound:spanishdict-0c14e1da-83a1aefa-46d1e23d-95261d3f-90879ee5.mp3],1,Basics
gracias,,thank you,thank you,thank you,,,Expression,,[sound:spanishdict-a675c5fd-623535cd-a69d8fc1-058b81bd-48155518.mp3],2,CommonPhrases
buenas noches,,goodnight; good evening,goodnight; good evening,goodnight; good evening,,,Expression,,[sound:spanishdict-cd47a12e-43a4de32-f2e49414-e99ed3ef-b4abedf2.mp3],2,CommonPhrases
hola,,hello,hello,hello,,,Expression,,[sound:spanishdict-7c8cc0bc-15608163-6b7ab690-3a4febd0-30863641.mp3],2,CommonPhrases
por favor,,please,please,please,,,Expression,,[sound:spanishdict-2c176cb7-5d36d4a6-6dece336-ef69f0d2-ce337672.mp3],2,CommonPhrases
perdón,disculpe / lo siento,"sorry, excuse me","sorry, excuse me","sorry, excuse me",,,Expression,,[sound:spanishdict-d6caccc2-5f78f577-8fa57845-ad180923-beb0ac97.mp3],2,CommonPhrases
adiós,,goodbye,goodbye,goodbye,,,Preposition,,[sound:spanishdict-aa9bebae-5d7598a6-fe13a658-791e2e1b-6724d766.mp3],2,CommonPhrases
mucho gusto,,nice to meet you,nice to meet you,nice to meet you,,,Expression,,[sound:spanishdict-0c4090f8-603593a7-c7d720d4-fe173927-6eb3b6f3.mp3],2,CommonPhrases
buenos días,,good morning,good morning,good morning,,,Expression,,[sound:spanishdict-551afd67-186f5e55-87110fe6-94bef0fc-c6a556a8.mp3],2,CommonPhrases
de nada,,you're welcome,you're welcome,you're welcome,,,Expression,,[sound:spanishdict-45e51d5e-cbd53827-5b95cb27-473244e2-05da1f2e.mp3],2,CommonPhrases
disculpe,p…,excuse me,excuse me,excuse me,,,Expression,,[sound:spanishdict-b0470130-5cb92705-b294cba8-1e2f8f2f-048da485.mp3],2,CommonPhrases
lo siento,,I'm sorry (for wrongdoing),I'm sorry (for wrongdoing),I'm sorry,,for wrongdoing,Expression,,[sound:spanishdict-d39496b1-24b3197e-7569dce4-955d6680-900efaf5.mp3],2,CommonPhrases
"nosotros, nosotras",,we,we,we,,,Pronoun,,[sound:spanishdict-d469552e-dd07b680-d7e667d8-2b33083e-e080c15c.mp3],3,Basics
el vino,,wine,wine,wine,,,Noun,m,[sound:spanishdict-c2d49512-3a33abb4-90f8351b-429b1086-77760a6c.mp3],3,Basics
ustedes,,you (plural),you (plural),you,,plural,Pronoun,,[sound:spanishdict-eb39ee48-1be3c374-a47bd603-c8c9cc66-1347e297.mp3],3,Basics
el libro,,book,book,book,,,Noun,m,[sound:spanishdict-de4f9173-61890a02-6252e933-1298db9c-04e647cc.mp3],3,Basics
escribir,,to write,to write,to write,,,Verb,,[sound:spanishdict-26aab862-cac7d5a6-68216ab3-4695dca2-804ec52e.mp3],3,Basics
el diario,el periódico,daily newspaper; diary,daily newspaper; diary,daily newspaper; diary,,,Noun,m,[sound:spanishdict-d91e437a-5638ae26-e209f7f3-ad075864-2ca4fdad.mp3],3,Basics
leer,,to read,to read,to read,,,Verb,,[sound:spanishdict-9d695770-77f9251b-e39fdeba-3684b38d-b96ec7de.mp3],3,Basics
"los, las",,the (plural),the (plural),the,,plural,Part,,[sound:spanishdict-a29a1818-012c6c39-f71aaaba-26263522-0cbe352b.mp3],3,Basics
la persona,,person,person,person,,,Noun,f,[sound:spanishdict-4049ac1f-bbb7816f-e9af0162-ee340c80-228225d8.mp3],3,Basics
"ellos, ellas",,they,they,they,,,Pronoun,,[sound:spanishdict-313a6cde-2be14b1a-19766ced-f434c3f7-b766adf2.mp3],3,Basics
la carta,,letter; written note,letter; written note,letter; written note,,,Noun,f,[sound:spanishdict-82549cbd-ea7cee9d-42acda16-d2f98be1-5ae32be8.mp3],3,Basics